Altium Designer Pick and Place Locations
C:\Users\Nevius\Documents\GitHub\Radiation-Detector\PCB\RadiationDetector\Project Outputs for RadiationDetector\Pick Place\Pick Place for RadiationDetector(Prototype).csv

========================================================================================================================
File Design Information:

Date:       18/08/25
Time:       00:13
Revision:   a7f4d240a683f500bb8288fffe1c8069b9d4ae60
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R17","47K","TopLayer","RESC1005X37N","1866.142","1984.252","90","RES SMD 47K OHM 1% 1/16W 0402"
"R16","150R","TopLayer","RESC1005X37N","2086.614","3015.748","0","RES SMD 150 OHM 1% 1/16W 0402"
"R15","1K","TopLayer","RESC1005X37N","2082.677","2200.787","0","RES SMD 1K OHM 5% 1/16W 0402"
"R14","2K","TopLayer","TRIM_3314J-1-202E","2106.299","2779.528","0","TRIMMER 2K OHM 0.25W J LEAD TOP"
"R13","5k1","TopLayer","RESC1005X37N","354.331","629.921","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R12","5k1","TopLayer","RESC1005X37N","342.520","503.937","180","RES SMD 5.1K OHM 1% 1/16W 0402"
"R11","10K","TopLayer","RESC1005X37N","1062.992","1055.118","0","RES SMD 10K OHM 1% 1/16W 0402"
"R10","5k1","TopLayer","RESC1005X37N","354.331","1141.732","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R9","5k1","TopLayer","RESC1005X37N","351.654","1015.748","180","RES SMD 5.1K OHM 1% 1/16W 0402"
"R8","4K7","TopLayer","RESC1005X37N","1064.252","1003.937","180","RES SMD 4.7K OHM 1% 1/16W 0402"
"R7","27R","TopLayer","RESC1005X37N","759.842","1212.598","0","RES SMD 27 OHM 1% 1/16W 0402"
"R6","27R","TopLayer","RESC1005X37N","759.842","1153.543","0","RES SMD 27 OHM 1% 1/16W 0402"
"R5","0R","TopLayer","RESC1005X37N","1472.441","1015.748","0","RES 0 OHM JUMPER 1/16W 0402"
"R4","10K","TopLayer","RESC1005X37N","1229.000","1083.992","270","RES SMD 10K OHM 1% 1/16W 0402"
"R3","10K","TopLayer","RESC1005X37N","1141.732","1133.858","0","RES SMD 10K OHM 1% 1/16W 0402"
"R2","10K","TopLayer","RESC1005X37N","2375.276","1232.284","0","RES SMD 10K OHM 1% 1/16W 0402"
"R1","0R","TopLayer","RESC1005X37N","1472.441","1153.543","0","RES 0 OHM JUMPER 1/16W 0402"
"Q6","STD3NK80ZT4","TopLayer","DPAK_STM","641.732","2674.146","0","MOSFET N-CH 800V 2.5A DPAK"
"Q5","HX2300A","TopLayer","SOT-23","436.221","2338.583","270","20V 2.5A 46mO@4.5V,2.5A 650mV 1 N-channel SOT-23 MOSFETs ROHS"
"Q4","WPM2015-3/TR","TopLayer","SOT-23","842.520","1681.102","270","20V 2.4A 110mO@4.5V,2.7A 1.1W 1V@250uA 1 P-Channel SOT-23-3 MOSFETs ROHS"
"Q3","2N7002","TopLayer","SOT95P240X111-3N","2381.890","2066.929","270","MOSFET SOT23 N 60V 5OHM 150C"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1326.772","1015.748","0","Transistores - Bipolar (BJT) - Simple NPN 25 V 1.5 A 100MHz 300 mW Montaje en superficie SOT-23-3"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1326.772","1153.543","0","Transistores - Bipolar (BJT) - Simple NPN 25 V 1.5 A 100MHz 300 mW Montaje en superficie SOT-23-3"
"LS1","PS1720P02","TopLayer","FP-PS1720P02-MFG","1157.480","547.244","180","Data Line Filter, 1 Function(s)"
"L2","1mH 1.850R","TopLayer","48102SC","251.969","2667.323","90","FIXED IND 1MH 520MA 1.85 OHM SMD"
"L1","2.2 uH","TopLayer","IND_VLS3015ET-220M-CA","503.937","1905.512","0","1.35A 2.2uH ±20% 1.35A SMD,3x3mm Power Inductors ROHS"
"J1","GX16_4PIN","TopLayer","WIRE_HARNESS_4PIN_HV","1271.653","3551.181","180","GX16_4PIN"
"G2","2171790001","TopLayer","FP-2171790001-MFG","162.894","551.181","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"G1","2171790001","TopLayer","FP-2171790001-MFG","162.894","1062.992","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"ESP32-S3-WROOM-1U-N16R8","ESP32-S3-WROOM-1U-N16R8","TopLayer","ESP32S3WROOM1N8R2","2143.307","728.346","270","SMD Module, ESP32-S3R8 With 8 mb"
"D20","BAS21","TopLayer","SOT-23","873.228","3811.024","90","DIODE STANDARD 250V 200MA SOT233"
"D19","BAS21","TopLayer","SOT-23","873.228","3976.378","90","DIODE STANDARD 250V 200MA SOT233"
"D12","RED LED","TopLayer","FP-LTST-C171KGKT-MFG","755.905","1320.866","270","LED RED CLEAR SMD"
"D11","1N5819HW-7-F","TopLayer","FP-SOD123-MFG","846.457","1811.024","0","DIODE SCHOTTKY 40V 1A SOD123"
"D10","PMEG4010BEA,115","TopLayer","SOD2512X110N","2110.236","2303.150","180","DIODE SCHOTTKY 40V 1A SOD323"
"D9","PMEG4010BEA,115","TopLayer","SOD2512X110N","1956.693","2303.150","180","DIODE SCHOTTKY 40V 1A SOD323"
"D8","ESD5B5.0ST1G","TopLayer","ONSC-SOD-523-2-502-01_C_V","433.071","531.496","180","TVS DIODE 5VWM SOD523"
"D7","ESD5B5.0ST1G","TopLayer","ONSC-SOD-523-2-502-01_C_V","433.071","590.551","180","TVS DIODE 5VWM SOD523"
"D6","ESD5B5.0ST1G","TopLayer","ONSC-SOD-523-2-502-01_C_V","433.071","472.441","180","TVS DIODE 5VWM SOD523"
"D5","1N5819HW-7-F","TopLayer","FP-SOD123-MFG","491.142","755.905","180","DIODE SCHOTTKY 40V 1A SOD123"
"D4","ESD5B5.0ST1G","TopLayer","ONSC-SOD-523-2-502-01_C_V","452.756","1043.307","180","TVS DIODE 5VWM SOD523"
"D3","ESD5B5.0ST1G","TopLayer","ONSC-SOD-523-2-502-01_C_V","452.756","1125.984","180","TVS DIODE 5VWM SOD523"
"D2","ESD5B5.0ST1G","TopLayer","ONSC-SOD-523-2-502-01_C_V","454.023","966.620","180","TVS DIODE 5VWM SOD523"
"D1","1N5819HW-7-F","TopLayer","FP-SOD123-MFG","492.126","842.520","180","DIODE SCHOTTKY 40V 1A SOD123"
"C31","10 pF 1KV","TopLayer","CAP_1206_3216_-_1.2MM","582.677","3866.142","0","CAP CER 10PF 1KV C0G/NPO 1206"
"U30","TLV3691IDCKR","TopLayer","FP-DCK0005A-IPC_B","1078.740","3842.520","0","IC COMPARATOR 1 GEN PUR SC70-5"
"C29","220p 50V","TopLayer","CAP_0402_1005","677.165","3972.441","90","CAP CER 220PF 50V X7R 0402"
"C28","330pF 100V","TopLayer","CAPC2012X94N","1055.118","3240.945","270","CAP CER 330PF 100V C0G/NPO 0805"
"C27","10nF 1KV","TopLayer","CAP_1206_3216_-_1.2MM","311.024","3393.701","180","CAP CER 10000PF 1KV X7R 1206"
"C26","10nF 1KV","TopLayer","CAP_1206_3216_-_1.2MM","311.024","3602.362","180","CAP CER 10000PF 1KV X7R 1206"
"C25","1uF, 16V","TopLayer","CAP_0402_1005","263.779","2161.417","180","CAP CER 1UF 16V X5R 0402"
"C24","0.1uF, 50V","TopLayer","CAP_0402_1005","263.779","2106.299","180","CAP CER 0.1UF 50V X7R 0402"
"C23","220u 6.3V","TopLayer","ANTC3225X280N","267.716","2259.843","180","CAP CER 220UF 6.3V X5R 1210"
"C22","0.1uF, 50V","TopLayer","CAP_0402_1005","1255.906","1476.378","90","CAP CER 0.1UF 50V X7R 0402"
"C21","22u 6.3V","TopLayer","CAPC1608X90","397.638","2011.811","0","CAP CER 22UF 6.3V X5R 0603"
"C20","22u 6.3V","TopLayer","CAPC1608X90","263.780","2011.811","180","CAP CER 22UF 6.3V X5R 0603"
"C19","2 Pin JST","TopLayer","JST_B2B-PH-K-S","1013.779","1511.811","90","Board Connector, 2 Contact(s), 1 Row(s), Male, Straight, 0.079 inch Pitch, Solder Terminal, Locking, Natural Insulator"
"C18","4u7 6.3V","TopLayer","CAP_0402_1005","842.520","1507.874","90","CAP CER 4.7UF 6.3V X5R 0402"
"C17","4u7 6.3V","TopLayer","CAP_0402_1005","566.929","1255.906","90","CAP CER 4.7UF 6.3V X5R 0402"
"C16","0.1uF, 50V","TopLayer","CAP_0402_1005","641.732","4082.677","180","CAP CER 0.1UF 50V X7R 0402"
"C15","10uF, 10V","TopLayer","CAP_0402_1005","641.732","4133.858","180","CAP CER 10UF 10V X5R 0402"
"C14","0.1uF, 50V","TopLayer","CAP_0402_1005","1803.149","1755.906","180","CAP CER 0.1UF 50V X7R 0402"
"C13","220p 50V","TopLayer","CAP_0402_1005","2228.347","2478.740","270","CAP CER 220PF 50V X7R 0402"
"C12","470p 50V","TopLayer","CAP_0402_1005","1905.512","3015.748","180","CAP CER 470PF 50V X7R 0402"
"C11","0.1uF, 50V","TopLayer","CAP_0402_1005","354.331","433.071","90","CAP CER 0.1UF 50V X7R 0402"
"C10","0.1uF, 50V","TopLayer","CAP_0402_1005","838.583","1131.496","90","CAP CER 0.1UF 50V X7R 0402"
"C9","0.1uF, 50V","TopLayer","CAP_0402_1005","1149.606","1214.173","90","CAP CER 0.1UF 50V X7R 0402"
"C8","0.1uF, 50V","TopLayer","CAP_0402_1005","974.803","1003.937","180","CAP CER 0.1UF 50V X7R 0402"
"C7","4u7 6.3V","TopLayer","CAP_0402_1005","976.378","1055.118","180","CAP CER 4.7UF 6.3V X5R 0402"
"C6","0.1uF, 50V","TopLayer","CAP_0402_1005","354.331","944.882","90","CAP CER 0.1UF 50V X7R 0402"
"C5","0.1uF, 50V","TopLayer","CAP_0402_1005","2465.000","1221.000","180","CAP CER 0.1UF 50V X7R 0402"
"C4","10uF, 10V","TopLayer","CAP_0402_1005","2464.567","1153.543","180","CAP CER 10UF 10V X5R 0402"
"C3","1uF, 16V","TopLayer","CAP_0402_1005","2375.000","1172.000","180","CAP CER 1UF 16V X5R 0402"
